"Campaign Name","Status","Type","Audience","Last Sent","Segment","Sent","Clicked","CTR","Email"
"Dhoti Sets","Running","One Time","ALL, Subscriber Timezone","May 11, 2022 21:15","73904","73253","56","0.08%","madarth.com@gmail.com"
"Dresses","Completed","One Time","ALL, Subscriber Timezone","May 11, 2022 04:45","78243","76962","81","0.11%","madarth.com@gmail.com"
"Kaftans","Completed","One Time","ALL, Subscriber Timezone","May 10, 2022 08:20","78165","77235","61","0.08%","madarth.com@gmail.com"
"A guide to choosing sarees to wear for work","Completed","One Time","ALL, Subscriber Timezone","May 08, 2022 02:45","78025","77159","98","0.13%","madarth.com@gmail.com"
"Pavadai Sattai Material","Completed","One Time","ALL, Subscriber Timezone","May 07, 2022 03:42","78015","77162","98","0.13%","madarth.com@gmail.com"
"Salwar Material","Completed","One Time","ALL, Subscriber Timezone","May 06, 2022 05:33","75065","73963","101","0.14%","madarth.com@gmail.com"
"Blouse Materials","Completed","One Time","ALL, Subscriber Timezone","May 05, 2022 10:15","75192","74288","157","0.21%","madarth.com@gmail.com"
"Athirshtam","Completed","One Time","ALL, Subscriber Timezone","May 03, 2022 05:20","75210","74263","107","0.14%","madarth.com@gmail.com"
"Short Tops / Tunics","Completed","One Time","ALL, Subscriber Timezone","Apr 30, 2022 02:54","77959","77115","84","0.11%","madarth.com@gmail.com"
"Long Kurtas","Completed","One Time","ALL, Subscriber Timezone","Apr 29, 2022 05:45","75050","74219","128","0.17%","madarth.com@gmail.com"
"Salwar Set","Completed","One Time","ALL, Subscriber Timezone","Apr 28, 2022 02:54","78183","77100","124","0.16%","madarth.com@gmail.com"
"Readymade Blouses","Completed","One Time","ALL, Subscriber Timezone","Apr 27, 2022 04:38","75157","74208","111","0.15%","madarth.com@gmail.com"
"Dupattas","Completed","One Time","ALL, Subscriber Timezone","Apr 24, 2022 02:54","77917","76999","136","0.18%","madarth.com@gmail.com"
"Dhotis","Completed","One Time","ALL, Subscriber Timezone","Apr 23, 2022 09:30","74862","73879","73","0.1%","madarth.com@gmail.com"
"Long Kurtas","Completed","One Time","ALL, Subscriber Timezone","Apr 22, 2022 09:40","75041","74135","121","0.16%","madarth.com@gmail.com"
"Short Kurtas","Completed","One Time","ALL, Subscriber Timezone","Apr 20, 2022 03:32","75026","74114","107","0.14%","madarth.com@gmail.com"
"Online sale end today","Completed","One Time","ALL, Subscriber Timezone","Apr 18, 2022 00:30","77903","76971","85","0.11%","madarth.com@gmail.com"
"Online sale end in 1 day","Completed","One Time","ALL, Subscriber Timezone","Apr 17, 2022 00:30","77862","76943","183","0.24%","madarth.com@gmail.com"
"Online sale end in 2 days","Completed","One Time","ALL","Apr 15, 2022 12:24","78113","77255","95","0.12%","madarth.com@gmail.com"
"Semi Cotton","Completed","One Time","ALL, Subscriber Timezone","Apr 15, 2022 03:56","77753","76914","117","0.15%","madarth.com@gmail.com"
"Printed Cotton","Completed","One Time","ALL, Subscriber Timezone","Apr 14, 2022 03:30","77715","76876","112","0.15%","madarth.com@gmail.com"
"Hand Spun Cotton","Completed","One Time","ALL, Subscriber Timezone","Apr 13, 2022 08:30","77805","76734","85","0.11%","madarth.com@gmail.com"
"Bengal Cotton","Completed","One Time","ALL, Subscriber Timezone","Apr 13, 2022 03:30","77909","76854","113","0.15%","madarth.com@gmail.com"
"Hand Spun Cotton","Aborted","One Time","ALL, Subscriber Timezone","Apr 12, 2022 10:30","114","111","1","0.9%","madarth.com@gmail.com"
"Bengal Cotton","Aborted","One Time","ALL, Subscriber Timezone","-","0","0","0","0%","madarth.com@gmail.com"
"Andhra Cotton - Desktop","Completed","One Time","Desktop-subscribers, Subscriber Timezone","Apr 09, 2022 04:07","6437","5989","24","0.4%","madarth.com@gmail.com"
"Andhra Cotton - Mobile","Completed","One Time","Mobile-subscribers","Apr 08, 2022 19:00","71008","70431","63","0.09%","madarth.com@gmail.com"
"Tamil Nadu Cotton - Desktop","Completed","One Time","ALL","Apr 07, 2022 16:00","78064","77134","219","0.28%","madarth.com@gmail.com"
"Necklaces","Completed","One Time","ALL","Apr 05, 2022 18:00","77968","77094","150","0.19%","madarth.com@gmail.com"
"Cotton Sarees","Completed","One Time","ALL","Apr 04, 2022 16:15","78085","77065","112","0.15%","madarth.com@gmail.com"
"Gems of Kanchipuram - Mobile","Completed","One Time","Mobile-subscribers","Apr 01, 2022 19:00","70897","70365","138","0.2%","madarth.com@gmail.com"
"Gems of Kanchipuram - Desktop","Completed","One Time","Desktop-subscribers","Apr 01, 2022 13:34","6507","5873","31","0.53%","madarth.com@gmail.com"
"Readymade Blouses","Completed","One Time","ALL, Subscriber Timezone","Apr 01, 2022 10:30","77584","76560","173","0.23%","madarth.com@gmail.com"
"Mysore Silk Sarees","Completed","One Time","ALL, Subscriber Timezone","Mar 31, 2022 10:30","76926","75741","279","0.37%","madarth.com@gmail.com"
"Banarasi Sarees","Completed","One Time","ALL, Subscriber Timezone","Mar 26, 2022 10:30","77644","76420","196","0.26%","madarth.com@gmail.com"
"Readymade Blouses","Completed","One Time","ALL, Subscriber Timezone","Mar 25, 2022 10:30","77502","76453","259","0.34%","madarth.com@gmail.com"
"Quilts","Completed","One Time","ALL, Subscriber Timezone","Mar 24, 2022 10:30","77398","76441","103","0.13%","madarth.com@gmail.com"
"Mysore Silks","Completed","One Time","ALL, Subscriber Timezone","Mar 23, 2022 10:00","77623","76500","202","0.26%","madarth.com@gmail.com"
"Mysore silk - Desktop","Aborted","One Time","ALL","-","0","0","0","0%","madarth.com@gmail.com"
"Silver Jewellery - Mobile","Completed","One Time","Indian Mobile Customer","Mar 18, 2022 18:30","64721","63563","83","0.13%","madarth.com@gmail.com"
"Silver jewellery","Completed","One Time","Indian Desktop Customer","Mar 18, 2022 13:30","3250","3084","13","0.42%","madarth.com@gmail.com"
"Salwar sets - Mobile","Completed","One Time","Mobile-subscribers","Mar 17, 2022 19:00","71349","70236","106","0.15%","madarth.com@gmail.com"
"Salwar sets","Completed","One Time","Desktop-subscribers","Mar 17, 2022 14:00","6507","5971","18","0.3%","madarth.com@gmail.com"
"Holi","Completed","One Time","Desktop-subscribers","Mar 15, 2022 13:30","6484","5989","9","0.15%","madarth.com@gmail.com"
"Holi - v2 - Mobile","Aborted","One Time","Mobile-subscribers","-","0","0","0","0%","madarth.com@gmail.com"
"Holi -v2","Aborted","One Time","Desktop-subscribers","-","0","0","0","0%","madarth.com@gmail.com"
"Holi - Mobile","Aborted","One Time","Mobile-subscribers","-","0","0","0","0%","madarth.com@gmail.com"
"Virtual Shopping Mobile","Aborted","Recurring","Mobile-subscribers","-","0","0","0","0%","madarth.com@gmail.com"
"Virtual Shopping","Completed","Recurring","Desktop-subscribers","-","0","0","0","0%","madarth.com@gmail.com"
"Sundari Silks UpTo % OfF_11_March","Completed","Recurring","ALL","-","0","0","0","0%","1616057503-rajesh@madarth.com"
"Sundari Silks","Aborted","Recurring","ALL","-","0","0","0","0%","1616057503-rajesh@madarth.com"
